station_id,station_name,lat,lon,gestore,source,PREC_value,PREC_dt,TARIA2M_value,TARIA2M_dt,PRESS_value,PRESS_dt,VV_value,VV_dt,UMID2M_value,UMID2M_dt,PREC_range_flag,TARIA2M_range_flag,PRESS_range_flag,VV_range_flag,UMID2M_range_flag,PREC_robust_z,PREC_outlier_flag,TARIA2M_robust_z,TARIA2M_outlier_flag,PRESS_robust_z,PRESS_outlier_flag,VV_robust_z,VV_outlier_flag,UMID2M_robust_z,UMID2M_outlier_flag,any_outlier_flag,coastal_weight,dist_to_coast_km,any_flag
ADRIATIC::MH_dpcn-marche_Cingoli,Cingoli,43.36223,13.19233,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,27.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.562083333333333,False,,,,,,,False,0.675,38.4,False
ADRIATIC::MH_dpcn-marche_Colle,Colle,43.5347,13.0564,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.4,2026-06-21 16:00:00+00:00,984.0,2026-06-21 16:00:00+00:00,1.0,2026-06-21 16:00:00+00:00,,,False,False,False,False,False,,False,-0.20609722222222243,False,-6.949393939394035,True,-0.5901875,False,,,True,0.679,37.8,False
ADRIATIC::MH_dpcn-marche_Colleponi,Colleponi,43.43372,12.90434,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.1,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.07494444444444415,False,,,,,,,False,0.589,53.0,False
ADRIATIC::MH_dpcn-marche_Conca_1,Conca 1,43.8711,12.4956,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.728,29.6,False
ADRIATIC::MH_dpcn-marche_Conca_2,Conca 2,43.8839,12.5289,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.731,29.0,False
ADRIATIC::MH_dpcn-marche_Corinaldo,Corinaldo,43.6605,13.04638,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.9,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.11241666666666689,False,,,,,,,False,0.68,37.6,False
ADRIATIC::MH_dpcn-marche_Cupramontana,Cupramontana,43.44538,13.11565,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.682,37.3,False
ADRIATIC::MH_dpcn-marche_Endesa,Endesa,42.92618,13.09863,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.501,67.9,False
ADRIATIC::MH_dpcn-marche_Esanatoglia2,Esanatoglia2,43.25313,12.94332,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,27.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.562083333333333,False,,,,,,,False,0.54,61.3,False
ADRIATIC::MH_dpcn-marche_Ete_Vivo,Ete Vivo,43.1358,13.7131,MeteoHub_dpcn-marche,ADRIATIC,,,31.2,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,,0.1311527777777776,False,,,,,,,False,0.757,24.7,False
