code,name,lat,lon,elevation
143820-99999,,45.15,18.7,98.0
144280-99999,,44.133,15.217,7.0
144310-99999,,44.108,15.347,88.1
144380-99999,,43.733,15.917,75.0
144410-99999,,43.05,16.1,20.0
144420-99999,,44.033,16.2,255.0
144430-99999,,42.4,16.267,98.0
144440-99999,,43.539,16.298,24.1
144450-99999,,43.517,16.433,128.0
144470-99999,,43.167,16.45,25.0
144520-99999,,42.767,16.9,187.0
144540-99999,,43.283,17.017,49.0
144620-99999,,43.05,17.45,5.0
144720-99999,,42.65,18.083,53.0
145370-99999,,44.767,16.7,158.0
145420-99999,,44.783,17.217,156.0
145440-99999,,44.067,17.467,566.0
145490-99999,,44.217,17.9,348.0
145540-99999,,44.883,18.433,140.0
145570-99999,,44.55,18.7,307.0
146400-99999,,43.833,17.017,728.0
146480-99999,,43.35,17.8,108.0
146500-99999,,43.767,18.033,972.0
146520-99999,,43.717,18.267,2070.0
146540-99999,,43.867,18.433,638.0
160360-99999,,46.032,12.596,117.0
160365-99999,,46.017,12.617,126.0
160400-99999,,46.5,13.583,778.0
160450-99999,,45.979,13.049,54.6
160980-99999,,45.685,12.083,41.8
160990-99999,,45.648,12.194,18.0
161050-99999,,45.505,12.352,2.1
161080-99999,,45.828,13.472,11.3
161100-99999,,45.65,13.75,20.0
161460-99999,,44.45,12.3,6.0
161470-99999,,44.195,12.07,29.6
161480-99999,,44.224,12.307,5.5
161490-99999,,44.02,12.612,12.5
161790-99999,,43.517,12.733,574.0
161810-99999,,43.096,12.513,211.2
161900-99999,,43.617,13.533,142.0
161910-99999,,43.616,13.362,14.9
162160-99999,,42.43,12.064,301.8
162190-99999,,42.467,12.983,1875.0
162210-99999,,42.417,12.85,389.0
162240-99999,,42.083,12.217,270.0
162270-99999,,41.983,13.6,650.0
162300-99999,,42.432,14.181,14.6
162320-99999,,42.0,15.0,44.0
162340-99999,,41.99,12.741,88.1
162350-99999,,41.952,12.499,16.8
162390-99999,,41.799,12.595,130.1
162420-99999,,41.804,12.251,4.6
162430-99999,,41.542,12.909,28.3
162440-99999,,41.633,13.3,181.0
162450-99999,,41.659,12.445,12.5
162520-99999,,41.567,14.65,807.0
162530-99999,,41.061,14.082,8.8
162580-99999,,41.7,15.95,848.0
162600-99999,,41.433,15.533,81.0
162610-99999,,41.541,15.718,55.8
162630-99999,,41.05,15.233,1093.0
162640-99999,,41.133,15.517,514.0
162700-99999,,41.133,16.767,53.9
162800-99999,,40.917,12.95,185.0
162890-34113,,40.886,14.291,89.6
162890-99999,,40.85,14.3,72.0
162923-99999,,40.62,14.911,37.5
162940-99999,,40.55,14.25,269.0
163000-99999,,40.633,15.8,843.0
163100-99999,,40.017,15.283,185.0
163120-99999,,40.768,16.933,361.8
163170-99999,,40.083,16.017,896.0
163200-99999,,40.658,17.947,14.3
163240-99999,,40.518,17.403,65.5
163250-99999,,40.433,16.883,12.0
163320-99999,,40.239,18.133,47.5
163340-99999,,40.1,18.483,80.0
